epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8805,1.00588,2.305,0.96164,0.01538,0.72808,0.19388,0.15516,0.77164,2.97881,0.869,0.000546704,0.000546704,0.000546704
2,130.945,0.88812,1.37295,0.92423,0.77263,0.38593,0.62776,0.491,0.77664,1.82426,0.88728,0.00109873,0.00109873,0.00109873
3,54.0476,0.89634,1.24236,0.93126,0.62376,0.7279,0.67763,0.51634,0.75754,1.10786,0.87976,0.00164709,0.00164709,0.00164709
4,65.1512,0.88994,1.19539,0.93352,0.62475,0.7398,0.72422,0.5689,0.7512,0.95041,0.88054,0.0016505,0.0016505,0.0016505
5,76.7814,0.85041,1.07562,0.91109,0.63449,0.7594,0.69149,0.55439,0.71939,0.98853,0.86626,0.001645,0.001645,0.001645
6,88.1118,0.84261,1.031,0.91465,0.67276,0.76109,0.75788,0.60202,0.69469,0.88074,0.86595,0.00163949,0.00163949,0.00163949
7,99.5978,0.8371,1.00639,0.90325,0.67314,0.73661,0.7533,0.6024,0.70189,0.9775,0.87079,0.00163399,0.00163399,0.00163399
8,200.389,0.81468,0.97726,0.89973,0.67082,0.76907,0.77497,0.62712,0.65991,0.83882,0.85565,0.00162849,0.00162849,0.00162849
9,122.687,0.79785,0.96828,0.90417,0.66156,0.74278,0.74744,0.60205,0.67229,0.84399,0.862,0.00162299,0.00162299,0.00162299
10,133.955,0.78016,0.89588,0.88631,0.72436,0.78894,0.81392,0.66255,0.66962,0.83727,0.85797,0.00161749,0.00161749,0.00161749
11,145.78,0.80023,0.91514,0.89488,0.6828,0.80206,0.80626,0.6363,0.67743,0.75234,0.86395,0.00161199,0.00161199,0.00161199
12,157.601,0.78432,0.90047,0.90043,0.68758,0.80714,0.81825,0.66952,0.64071,0.77485,0.85535,0.00160649,0.00160649,0.00160649
13,169.113,0.786,0.87709,0.90006,0.70388,0.74664,0.78582,0.64038,0.64622,0.84791,0.84878,0.00160099,0.00160099,0.00160099
14,180.874,0.77252,0.83941,0.89788,0.76155,0.77732,0.82808,0.68702,0.62339,0.7428,0.84573,0.00159549,0.00159549,0.00159549
15,192.877,0.7678,0.81812,0.88656,0.66982,0.76442,0.78906,0.64429,0.64031,0.81463,0.85537,0.00158998,0.00158998,0.00158998
16,204.663,0.77374,0.83788,0.89589,0.75506,0.78764,0.83593,0.68419,0.64559,0.65131,0.85521,0.00158448,0.00158448,0.00158448
17,216.025,0.74753,0.81031,0.88975,0.73171,0.78532,0.81381,0.67583,0.6125,0.82785,0.8531,0.00157898,0.00157898,0.00157898
18,227.245,0.76898,0.81894,0.88461,0.745,0.78956,0.83065,0.67249,0.6323,0.67945,0.84983,0.00157348,0.00157348,0.00157348
19,239.697,0.72732,0.74866,0.87498,0.7177,0.81348,0.82986,0.68719,0.61198,0.70874,0.84485,0.00156798,0.00156798,0.00156798
20,251.522,0.75956,0.77658,0.88714,0.75227,0.81942,0.86092,0.71156,0.60164,0.62327,0.84388,0.00156248,0.00156248,0.00156248
21,263.298,0.7505,0.78041,0.88572,0.75268,0.81625,0.84059,0.69436,0.62685,0.69491,0.84473,0.00155698,0.00155698,0.00155698
22,274.693,0.74204,0.75048,0.88501,0.76257,0.82532,0.86198,0.71606,0.6188,0.60789,0.84125,0.00155148,0.00155148,0.00155148
23,286.377,0.72397,0.73449,0.87595,0.76678,0.82396,0.86321,0.71751,0.59242,0.60588,0.84546,0.00154598,0.00154598,0.00154598
24,298.695,0.74048,0.75433,0.88137,0.73178,0.83326,0.85121,0.71382,0.59994,0.6136,0.83852,0.00154047,0.00154047,0.00154047
25,310.588,0.72547,0.75707,0.87332,0.77162,0.78744,0.846,0.70601,0.59663,0.74121,0.84233,0.00153497,0.00153497,0.00153497
26,322.538,0.73236,0.73241,0.87882,0.78127,0.81345,0.87639,0.72564,0.63785,0.63744,0.84768,0.00152947,0.00152947,0.00152947
27,334.896,0.72975,0.71324,0.87243,0.77409,0.78338,0.84862,0.71154,0.60637,0.7147,0.84392,0.00152397,0.00152397,0.00152397
28,346.799,0.72296,0.70644,0.87579,0.81414,0.81408,0.89171,0.73952,0.59068,0.56944,0.83654,0.00151847,0.00151847,0.00151847
29,358.893,0.71284,0.69715,0.87459,0.77151,0.85163,0.88767,0.74462,0.56752,0.54819,0.83114,0.00151297,0.00151297,0.00151297
30,371.253,0.72164,0.71842,0.87546,0.74487,0.76638,0.84085,0.70593,0.58961,0.80843,0.83751,0.00150747,0.00150747,0.00150747
31,384.331,0.70575,0.68462,0.87352,0.80379,0.84026,0.8894,0.74947,0.58223,0.5566,0.83784,0.00150197,0.00150197,0.00150197
32,396.957,0.70862,0.68644,0.87106,0.80195,0.85004,0.90183,0.75087,0.59612,0.51728,0.83729,0.00149647,0.00149647,0.00149647
33,409.845,0.6932,0.68416,0.86691,0.76591,0.84006,0.88671,0.7485,0.57434,0.59482,0.83046,0.00149096,0.00149096,0.00149096
34,422.129,0.68268,0.67316,0.86805,0.80403,0.80815,0.87409,0.73486,0.56352,0.59066,0.83079,0.00148546,0.00148546,0.00148546
35,435.041,0.69962,0.67016,0.8652,0.77913,0.85438,0.88624,0.74858,0.5752,0.59152,0.83224,0.00147996,0.00147996,0.00147996
36,448.235,0.69689,0.65543,0.86719,0.79367,0.81115,0.86769,0.73264,0.57406,0.59539,0.83213,0.00147446,0.00147446,0.00147446
37,461.069,0.6966,0.6515,0.86765,0.79514,0.84897,0.89593,0.76632,0.54389,0.54057,0.82532,0.00146896,0.00146896,0.00146896
38,473.357,0.67619,0.6297,0.86692,0.84478,0.83402,0.9065,0.76776,0.58073,0.51517,0.83152,0.00146346,0.00146346,0.00146346
39,486.196,0.66754,0.64384,0.86418,0.83266,0.83374,0.90148,0.76224,0.56411,0.55564,0.83214,0.00145796,0.00145796,0.00145796
40,498.82,0.69684,0.63474,0.86802,0.83172,0.8563,0.90806,0.77224,0.55932,0.49983,0.83042,0.00145246,0.00145246,0.00145246
41,511.639,0.68209,0.62298,0.86209,0.84147,0.83757,0.91309,0.76968,0.56566,0.50307,0.82746,0.00144696,0.00144696,0.00144696
42,524.021,0.67723,0.61426,0.85985,0.80727,0.87354,0.91864,0.77745,0.5547,0.51338,0.82735,0.00144145,0.00144145,0.00144145
43,537.085,0.6653,0.61414,0.86125,0.82283,0.86453,0.89894,0.76884,0.56561,0.50292,0.82842,0.00143595,0.00143595,0.00143595
44,549.332,0.68657,0.61458,0.86443,0.83996,0.87216,0.92421,0.7932,0.55071,0.47504,0.82417,0.00143045,0.00143045,0.00143045
45,562.126,0.68258,0.60338,0.86305,0.86484,0.8815,0.93619,0.80085,0.55911,0.46059,0.82527,0.00142495,0.00142495,0.00142495
46,574.689,0.66641,0.59093,0.86404,0.87572,0.8859,0.93854,0.79724,0.55983,0.46258,0.82566,0.00141945,0.00141945,0.00141945
47,587.061,0.64611,0.58118,0.84939,0.83901,0.88863,0.93557,0.79875,0.54859,0.46709,0.82518,0.00141395,0.00141395,0.00141395
48,600.373,0.66379,0.59031,0.85231,0.87521,0.86835,0.93695,0.80372,0.54523,0.45713,0.82204,0.00140845,0.00140845,0.00140845
49,612.97,0.66104,0.58727,0.85467,0.85755,0.86763,0.91869,0.78193,0.559,0.5343,0.8285,0.00140295,0.00140295,0.00140295
50,625.381,0.66554,0.57996,0.86113,0.86869,0.86059,0.9289,0.80027,0.54172,0.48812,0.82372,0.00139745,0.00139745,0.00139745
51,726.979,0.66753,0.58353,0.85568,0.88675,0.87724,0.93811,0.80955,0.53723,0.43917,0.82069,0.00139195,0.00139195,0.00139195
52,651.244,0.66279,0.55206,0.85421,0.87579,0.88201,0.94259,0.81378,0.5365,0.4665,0.82001,0.00138644,0.00138644,0.00138644
53,663.875,0.66827,0.56131,0.85702,0.86889,0.8812,0.93421,0.79943,0.55108,0.45137,0.82691,0.00138094,0.00138094,0.00138094
54,676.633,0.65308,0.57007,0.85551,0.87625,0.90901,0.94719,0.81613,0.52819,0.42663,0.82045,0.00137544,0.00137544,0.00137544
55,689.815,0.66593,0.56397,0.85694,0.8691,0.89228,0.94268,0.81604,0.52888,0.4406,0.81869,0.00136994,0.00136994,0.00136994
56,702.431,0.64329,0.54268,0.85506,0.88043,0.87361,0.94339,0.81461,0.52385,0.43813,0.82018,0.00136444,0.00136444,0.00136444
57,714.88,0.64515,0.54372,0.84821,0.86337,0.9011,0.94767,0.81879,0.51741,0.42003,0.81779,0.00135894,0.00135894,0.00135894
58,727.584,0.65909,0.57662,0.8535,0.85575,0.87342,0.93374,0.80593,0.52742,0.44599,0.81967,0.00135344,0.00135344,0.00135344
59,740.143,0.63626,0.53822,0.85083,0.90202,0.85882,0.93662,0.80924,0.51886,0.42029,0.8187,0.00134794,0.00134794,0.00134794
60,753.149,0.65028,0.5329,0.85149,0.88721,0.88915,0.94633,0.81184,0.55553,0.42392,0.82233,0.00134244,0.00134244,0.00134244
61,765.822,0.64325,0.52743,0.84865,0.89754,0.90679,0.95568,0.8319,0.51454,0.39863,0.81654,0.00133693,0.00133693,0.00133693
62,867.092,0.63212,0.51104,0.84604,0.91341,0.89804,0.96081,0.83334,0.51736,0.39186,0.8177,0.00133143,0.00133143,0.00133143
63,791.798,0.65491,0.53244,0.84646,0.89251,0.89755,0.95482,0.83152,0.50928,0.38867,0.8162,0.00132593,0.00132593,0.00132593
64,804.211,0.63513,0.50851,0.84913,0.91334,0.89282,0.95526,0.83476,0.50363,0.39192,0.81475,0.00132043,0.00132043,0.00132043
65,817.479,0.64593,0.53446,0.84786,0.86655,0.88182,0.93678,0.80439,0.54525,0.47433,0.82169,0.00131493,0.00131493,0.00131493
66,829.935,0.62956,0.52521,0.85015,0.8872,0.88468,0.9567,0.83411,0.51093,0.42053,0.81518,0.00130943,0.00130943,0.00130943
67,843.191,0.62293,0.50956,0.84457,0.90359,0.9168,0.9568,0.8307,0.52285,0.38267,0.81538,0.00130393,0.00130393,0.00130393
68,855.822,0.62284,0.49801,0.84803,0.8917,0.90481,0.95332,0.83325,0.51389,0.40607,0.81565,0.00129843,0.00129843,0.00129843
69,869.003,0.63343,0.51081,0.84871,0.87769,0.88191,0.93355,0.81599,0.50318,0.40286,0.81399,0.00129293,0.00129293,0.00129293
70,882.345,0.61349,0.50515,0.84747,0.86951,0.91774,0.95956,0.83838,0.51097,0.39028,0.814,0.00128742,0.00128742,0.00128742
71,894.704,0.6311,0.50964,0.84441,0.8961,0.8624,0.92088,0.80016,0.51123,0.39864,0.81455,0.00128192,0.00128192,0.00128192
72,907.046,0.64389,0.5209,0.85102,0.88744,0.91275,0.96302,0.841,0.49846,0.38965,0.8128,0.00127642,0.00127642,0.00127642
73,919.914,0.6173,0.49351,0.84394,0.88625,0.88092,0.94882,0.8317,0.50072,0.39679,0.81243,0.00127092,0.00127092,0.00127092
74,932.509,0.60788,0.47928,0.84323,0.90223,0.9084,0.96388,0.84797,0.49879,0.36352,0.81326,0.00126542,0.00126542,0.00126542
75,945.174,0.62199,0.49489,0.84138,0.9112,0.78708,0.8406,0.73886,0.5103,0.3778,0.81524,0.00125992,0.00125992,0.00125992
76,958.2,0.62146,0.48888,0.84819,0.907,0.8997,0.95824,0.8371,0.50274,0.38524,0.81233,0.00125442,0.00125442,0.00125442
77,970.904,0.6241,0.48834,0.8484,0.89229,0.92674,0.96445,0.85218,0.49118,0.3581,0.81048,0.00124892,0.00124892,0.00124892
78,1072.42,0.61304,0.48976,0.84296,0.9098,0.91655,0.96764,0.84557,0.50334,0.35658,0.81065,0.00124342,0.00124342,0.00124342
79,996.459,0.61363,0.49742,0.84598,0.89844,0.92039,0.96242,0.84019,0.49666,0.36111,0.81051,0.00123791,0.00123791,0.00123791
80,1097.6,0.63428,0.48654,0.84785,0.90909,0.91047,0.96536,0.85125,0.49038,0.35159,0.80949,0.00123241,0.00123241,0.00123241
81,1021.55,0.60864,0.46185,0.84022,0.93594,0.86819,0.95618,0.84409,0.48632,0.36821,0.80943,0.00122691,0.00122691,0.00122691
82,1034.19,0.60207,0.47142,0.8432,0.90737,0.91819,0.9649,0.84106,0.51193,0.36604,0.81489,0.00122141,0.00122141,0.00122141
83,1046.79,0.61267,0.46998,0.83981,0.91676,0.90959,0.96437,0.84828,0.50007,0.36004,0.81148,0.00121591,0.00121591,0.00121591
84,1059.86,0.61062,0.46267,0.84506,0.91466,0.89779,0.96063,0.85056,0.49077,0.37118,0.81089,0.00121041,0.00121041,0.00121041
85,1072.38,0.59302,0.44762,0.84145,0.92288,0.92512,0.97343,0.8603,0.47979,0.33801,0.80833,0.00120491,0.00120491,0.00120491
86,1084.86,0.59411,0.46093,0.83976,0.93443,0.91646,0.96584,0.85498,0.48106,0.33451,0.80832,0.00119941,0.00119941,0.00119941
87,1097.3,0.59248,0.46795,0.83925,0.93031,0.94182,0.97677,0.87004,0.46953,0.31996,0.80578,0.00119391,0.00119391,0.00119391
88,1109.61,0.60195,0.45239,0.84136,0.92841,0.93573,0.97616,0.86068,0.49091,0.34357,0.8097,0.0011884,0.0011884,0.0011884
89,1122.18,0.5993,0.45245,0.84027,0.91442,0.92487,0.96975,0.85907,0.47899,0.35201,0.80673,0.0011829,0.0011829,0.0011829
90,1135.26,0.58235,0.4431,0.84049,0.93582,0.92102,0.97331,0.85562,0.50472,0.33665,0.81114,0.0011774,0.0011774,0.0011774
91,1147.51,0.58458,0.43775,0.83395,0.91506,0.9291,0.97039,0.86154,0.47449,0.34054,0.80668,0.0011719,0.0011719,0.0011719
92,1160.53,0.59529,0.44502,0.83992,0.91701,0.9239,0.96978,0.86268,0.46993,0.35571,0.80536,0.0011664,0.0011664,0.0011664
93,1173.39,0.57973,0.44848,0.83796,0.92052,0.93042,0.97269,0.85947,0.4822,0.33954,0.80795,0.0011609,0.0011609,0.0011609
94,1186.56,0.57324,0.42899,0.83262,0.9344,0.91765,0.97065,0.8644,0.46935,0.31445,0.80584,0.0011554,0.0011554,0.0011554
95,1199.56,0.58561,0.43588,0.83991,0.94384,0.94192,0.98079,0.87167,0.47049,0.30712,0.80515,0.0011499,0.0011499,0.0011499
96,1212.46,0.59179,0.44812,0.83921,0.93083,0.92917,0.97093,0.85017,0.48846,0.34613,0.80725,0.0011444,0.0011444,0.0011444
97,1224.88,0.58951,0.44372,0.83412,0.93683,0.92856,0.97572,0.86915,0.47379,0.31214,0.80684,0.00113889,0.00113889,0.00113889
98,1237.72,0.57862,0.44267,0.83798,0.9195,0.92459,0.96759,0.85372,0.46953,0.33594,0.80492,0.00113339,0.00113339,0.00113339
99,1250.54,0.57925,0.42969,0.83484,0.93623,0.90177,0.97175,0.86677,0.4596,0.33399,0.80193,0.00112789,0.00112789,0.00112789
100,1352.03,0.5882,0.43095,0.83453,0.92982,0.9419,0.97593,0.87162,0.45893,0.31674,0.80228,0.00112239,0.00112239,0.00112239
101,1276.52,0.60179,0.42545,0.83433,0.93564,0.93675,0.9779,0.87186,0.46012,0.30587,0.80306,0.00111689,0.00111689,0.00111689
102,1289.55,0.56972,0.41644,0.8329,0.92339,0.94892,0.97801,0.87359,0.4569,0.3033,0.80287,0.00111139,0.00111139,0.00111139
103,1302.9,0.58486,0.42687,0.82827,0.94944,0.92783,0.98084,0.87431,0.46967,0.30047,0.80432,0.00110589,0.00110589,0.00110589
104,1315.42,0.57856,0.41366,0.83059,0.94408,0.92874,0.97593,0.87199,0.45761,0.31918,0.8017,0.00110039,0.00110039,0.00110039
105,1328.35,0.58129,0.42157,0.83486,0.93472,0.94193,0.97905,0.87888,0.45653,0.30185,0.80232,0.00109489,0.00109489,0.00109489
106,1341.28,0.56871,0.41509,0.83536,0.95395,0.93751,0.98135,0.88079,0.45783,0.30366,0.80293,0.00108938,0.00108938,0.00108938
107,1354.7,0.56266,0.41176,0.83218,0.94865,0.94247,0.98167,0.88269,0.45518,0.29932,0.80195,0.00108388,0.00108388,0.00108388
108,1367.14,0.57032,0.4092,0.83067,0.94717,0.94069,0.9821,0.88043,0.45242,0.29434,0.80184,0.00107838,0.00107838,0.00107838
109,1380.17,0.55124,0.40135,0.82813,0.93048,0.92691,0.97178,0.86977,0.45722,0.33205,0.80094,0.00107288,0.00107288,0.00107288
110,1393.26,0.56899,0.41711,0.83473,0.94583,0.93648,0.97975,0.88065,0.46388,0.30997,0.80247,0.00106738,0.00106738,0.00106738
111,1406.27,0.56731,0.41741,0.82884,0.95614,0.94101,0.98218,0.87641,0.4554,0.28666,0.80085,0.00106188,0.00106188,0.00106188
112,1419.62,0.5641,0.40544,0.83054,0.95369,0.94196,0.98272,0.88729,0.44009,0.2925,0.80019,0.00105638,0.00105638,0.00105638
113,1432.14,0.55351,0.39993,0.82472,0.95813,0.94346,0.98314,0.88503,0.44354,0.28544,0.80062,0.00105088,0.00105088,0.00105088
114,1533.93,0.57135,0.41142,0.82921,0.94369,0.92615,0.98006,0.87551,0.45358,0.30297,0.80119,0.00104538,0.00104538,0.00104538
115,1457.54,0.56118,0.40459,0.8304,0.95474,0.95422,0.98576,0.88577,0.44567,0.27917,0.79938,0.00103987,0.00103987,0.00103987
116,1470.85,0.56012,0.41525,0.83225,0.94546,0.9442,0.98169,0.88478,0.44278,0.29296,0.79922,0.00103437,0.00103437,0.00103437
117,1483.85,0.55743,0.40626,0.82705,0.9581,0.93422,0.98297,0.88841,0.43936,0.28154,0.79897,0.00102887,0.00102887,0.00102887
118,1497.04,0.5782,0.41374,0.82868,0.94785,0.94025,0.97926,0.88288,0.44249,0.29357,0.79947,0.00102337,0.00102337,0.00102337
119,1510.31,0.54682,0.38794,0.83131,0.95025,0.93819,0.98153,0.88145,0.45283,0.30564,0.80123,0.00101787,0.00101787,0.00101787
